McKenzies COY,
,
cane,coy
11,
12,
13,
14,
21,
22,
23,
24,
31,
32,
33,
34,
41,
42,
43,
44,
51,
52,
53,
54,
61,
62,
63,
64,
71,
72,
73,
74,
81,
82,
83,
84,
91,
92,
93,
94,
101,
102,
103,
104,
111,
112,
113,
114,
121,
122,
123,
124,
131,
132,
133,
134,
141,
142,
143,
144,
151,
152,
153,
154,
161,
162,
163,
164,
171,
172,
173,
174,
181,
182,
183,
184,
191,
192,
193,
194,
201,
202,
203,
204,
211,
212,
213,
214,
221,
222,
223,
224,
231,
232,
233,
234,
241,
242,
243,
244,
251,
252,
253,
254,
261,
262,
263,
264,
271,
272,
273,
274,
281,
282,
283,
284,
291,
292,
293,
294,
301,
302,
303,
304,
311,
312,
313,
314,
321,
322,
323,
324,
331,
332,
333,
334,
341,
342,
343,
344,
351,
352,
353,
354,
361,
362,
363,
364,
371,",27516.8.8.32286546767639.7768.3..73L93"
372,",26..33.65...657347.7.8.6.6747.88.6.77.98.66.3....6L119"
373,",6545177766364.686776.7567.7.77.676.63.L89"
374,",50.5221766147276637968.576.688.677.6L109"
381,",45366...3476...56..4445.88.66.7.44.7.34.5306.5.54.4.L52"
382,",4605.1451141.31.31345.37.633.34...5.....5.4..L17"
383,",655.6.16.44.7.356.63.8.5.5514.54.4.4.71.L40"
384,",67873164554746536255.7..L29"
391,",467671.0..85.9.7.2..8.35653.8.01.52.6.66L48"
392,",4695675..4.6.3.4557.8360653.6.3.35.15..L48"
393,",5724.327.0.7.55438.71646.85.66.6.2.4.6.5..L22"
394,",556142554.4.5464154536.63.5.46.33.4652.6..L24"
401,",55476403657.6..434067..64.754..2.27...560.5.L43"
402,",654.10344.3153510736.2.3.50.32.0.3.....1.4....L15"
403,",655.4614514.4614643247.4.45.33354.00L29"
404,",4421.14112541.6315320522555.5.4634.55.5..3..4.55.L35"
411,",55564.323.14.2211.3.6634361.21..5.32.40L13"
412,",75646563634.7..686538.6.57.4373..53.4..0L49"
413,",564453536146314514746157.4.3134.4142.30L49"
414,",566364.334234605.64.65365.5335.625..52.L13"
421,",56253..4343.345.12.75.76.44674.5.7.5.6.6.92.5.0.6.7.L47"
422,",463314374.27.8.7.71615656.6.87.1164.5.36.2L46"
423,",63582567827816.67.4.6533255.7636L35"
424,",613511531514.5.5.6556.5142746476.85.6.45.65.7L33"
431,",644.06210334664..62.66135273.72.445..7.6..5.4L28"
432,",5.43152155632526.5.655.546.1.55.4.35..54.4114.4L17"
433,",62.145.6.755.3583.7325.52L16"
434,",5.775.6.2712575.66.76.5.6634.552215L67"
441,",67240.3.7.525.734.3.38.37358.38.1.58.5.66.51.4L47"
442,",455412.4.4.435354241.766654.45...52.3.6347.L42"
443,",55426.7415.54535363.661554.36.6134.4L20"
444,",375857567.662871748374.8.74.65..7.66294L93"
451,",4618273438.2.63.87093.958.684.6..564..3..7..5234L80"
452,",740477..6725751516277176.57..85.5.65.6.7..8543.7.L122"
453,",1541514.52635365663526245.65..55.62.21.1...L45"
454,",6645272167176266176.6..7..267.6...L62"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
