coy,vortex,
,,
cane,coy,
11,",2.7355.41.2643..47648.8.7448.8.59..5.7..1.5......L55",
12,",1.142233.262.515.351.2546265161470776717.6.5437.17.4L27",
13,",34867.7.4.55.3.6.4.17.8.465.62...6.5168.2L16",
14,",6.....635723.5.16.2.6.1565.2...L27",
21,",651539.2.23.525616.473625477.04.737625.56255.7.51220.L66",
22,",452.1.04..6.461.1421355.4235.4144.66.6.6.5.66.6.56.1.L23",
23,",.83773.8..7..7.5.27.57.0.36.6.4455.40.5...L58",
24,",5546.265...4565...4....5.6.6..4..5.4......L16",
31,",..63446805727148.6406...L31",
32,",30.0....05..7043513416747.565.54.6.53....4..5.0403.L19",
33,",504468.6.8.352515447.55.7.45.4137.515....L48",
34,",5454.5.5545.53.6.36.6173606.4404....3..1L13",
41,",73.50.25.7.7.6.87.93.4615.38172778.......03053..0.L70",
42,",.04...1..64.64777596...677.55..6.63.66.60.76.5.4..L86",
43,",0455.6.5.6..447.5..6.25.3....43...62...L27",
44,",56667444654.1.6.4...5.5..8.4.36..74.3045.3.L45",
51,",2704......3.53036.5324.55.6.16.57..33.6.56.76.6....L7",
52,",055.4..6...2.6.66136.07.63563266.6...6.4..342....L21",
53,",65752....6.68.04.7.6.3.3....3..2..7.4..5.L35",
54,",.758.457700.35.6...000.4.4..6..5.3..3..L23",
61,",075.8.3.7.5.13807737.82909.717669..758.7.46.5.56.3..6.5.L119",
62,",..62.7.466.8457..2.30.67.6.25.46.3614.32.5.30.L46",
63,",8767.665.6.5536.4.5.5.5..3..3..62...6536.34.6.45.L27",
64,",2076.7.45.3.23..30027.5..4.76.6506.5.53.2..L21",
71,",66061.708363247766.54.656.6.6.57566.55...7633.7.L69",
72,",62545535.42.43435373626.8.4.6.7.6.77177055.2....3..4..L67",
73,",06766.73..3.34.42..5.44.76.5543.7....0L27",
74,",50.525641707556254..6..36.6247678.37.6..5.L57",
81,",8337145.56..85..5.9.68...67.874.6.9468.866979.7..L122",
82,",46.27.58.67..62.326767.674663.6668.8536.6....3.4..6.L81",
83,",507665.347736..8.1.66.8.38.45.7.5..4..L69",
84,",574666629.7.6.45.7.44.5.6..6257.26.6.L44",
91,",....235.583657356.56.73.464706.57.7.356606...L108",
92,",626375.7.5..76.6..857.65.67...547651.5..7...0L74",
93,",189879.5.4.4779.8777..2.6.97478.57..7....L143",
94,",.8466263.6465.347.5567.757.7.656.56L85",
101,",6.8513.627.7.68.8667.706.7.55..50..16.7.5L92",
102,",41487.67.65.66.747.5.58.7.47.5246.26.0.64..L55",
103,",058.6357.1673.77.63.6....6.42.6.0..0L55",
104,",5.80750776526.5.54.68..26.56.4.6.00..0.L51",
111,",7434066.383.64..35..6.27.5.70.6.65.5266.96.6.5.L28",
112,",6740056.50..065.37065..6055.56.635.01.4..L34",
113,",2517..5165.35.6.67.61.85.4..1.7.22.1....3.24..0L7",
114,",26727.586..2.26.86377.72.56.2..3.4....L47",
121,",65335.5.27074..5.23724.55.5..6..6.56.6..L41",
122,",72.323..47.47.52470.256.63..37.525.84.6.54.6.5.L39",
123,",553542754..44.5313.05.34....4.7..2......L5",
124,",6453.16.5356.54136..6.43.7.63.5.4..6.3305L13",
131,",7562234268..0777.6.06.53.5.60.7.5106.4.34..L53",
132,",1660.46..46.62463347.6335.66.7.51.5.5.57.L39",
133,",626667.76146.666.63.2..22.4..5.4.4..3L20",
134,",7676356.76.4224.6..7.6166.6.742....53.5.6L33",
141,",5447.2135.5527.48.47.46.8265.9.6.54.4.4.6.53.5.L59",
142,",6543.8.6646.7.7.6...8767.6.33.26151.8.6..L86",
143,",0116755267.78.76.64..63.6.63.5.1......L51",
144,",58669.78.6556.6..74.6.57.68.57.3..L72",
151,",5666537.67..5.8001.6..8..4.3.6.4..8.53.6..L43",
152,",668.4.8...4.16.5.5..6.57.7.55.74.7.64.7.55.7.5.L39",
153,",7867..76.46..873.67652.3.7..6..5.2...L28",
154,",46626.836..5.66.68.55.6.6.7..0.3.0....L12",
161,",2452.6165.33.29483835907.97.7.73.7..7036.52..L91",
162,",6693776.73356527.746272.3.6..6........L87",
163,",456377362.54.7.66435....6.55.5.56.55...5..L44",
164,",6567.76846..678616.76476.6.56381.56.5.4L81",
171,",563707465.77.5.27.4..7.7..8.3.6..55.5..5.4...L34",
172,",34.4401.144103345.3635.50677..46.85.66.66.1.1..1L19",
173,",8474167.48677555.6177.6.7514..5.8.7515.13L45",
174,",6344105524.5.63.5.4.5..637.358.5.46.6..2.5.3.L33",
181,",345332514.6555.76.6.77047055.7403.43.L50",
182,",652.51321.45.7011.004.41.6042.800.L18",
183,",2403.0.431243044.22.44.4.5..441375.3.55.L1",
184,",040030320433.42.4.44.40.3115.3424.L4",
191,",42505461445.54.3510...6.15.6.0446.1L7",
192,",54211130114554644.96315.55.22.8.56...15...L18",
193,",66053631.46.53.3..3.44.620411.4.1..5.54L14",
194,",8664.5.7.05.5.6.55.5.26.5..54.45.51.L17",
201,",43311121.1.1252.54.66.5.062.8..53.5.7.51.4.L18",
202,",6165656707588.8.58.76.7.67.6.25.5..6L46",
203,",5635416146.3.44.5557.54.6.46.6.1..2L19",
204,",63529.5646.56.7.273.525664.7455.6..5.5..L35",
211,",757.95.224.662.7.45.0474.54.4.94..260.L75",
212,",784216877..96846766.4535.15.4.2.50.6...L67",
213,",3078.45...7133.3.16.56.5......30.0L42",
214,",065277.6.76.76.85.6.36.7.7627.65..L74",
221,",57717..7.8767573.6.48.75.5.46.63.6..L52",
222,",752457505.6.45.77675.6.63.4.2..6.5..L16",
223,",66.4.5.83.5.86.71.45.65.64.6.3.40.4....L24",
224,",45524.35.27.6.53811806067.2508.66....L27",
231,",68955479.27.8..88568.6..4.767.7.76.7.57.L77",
232,",578754846943879.857.63675.64.5.6.64.6...L96",
233,",1486687.65.70.9667.63.4.332545355.2..L82",
234,",.344.26738..4..8.7..6.7..7636.74.65..L101",
241,",31446446045034...51.1674234..5.2..2.4..L4",
242,",.4032.55.36.335055.26.58.5.88.26.6.6115..1L47",
243,",6798.74564.6..5.7.6.83.4.4..2..0.5..L39",
244,",33514.6466..6.7.5407.54.6.66.7016...L5",
251,",056.7.58.1.4.7.7.4..5..3.5.5..5.52.10.5.0.L16",
252,",356616438574.46.76.76.56.74.5.53.63.6.04.L48",
253,",.62.0.32..5..2.5.2.3..4.32.5..3.3..3.11....L3",
254,",435..1.4...4.3.6..5.5.3..5.3.45566.07.8.65.7.L23",
261,",6783366214556.775855386117688.7...5.62..L78",
262,",4...634458.58.51.5..7.7.6.658.8.8..6817.8..L106",
263,",5606.3.6517.6.5.6.5.66.3.6.2..5.27.6348.5217L69",
264,",1336.102..146.276.44857.18..4.4..2.5L65",
271,",636435.......56.4.47.16.725058.65.5.35.4305.0.L59",
272,",337052.2.44..66.57.44.7.58.8.41.3..30L48",
273,",5..00.0..5.0..0.61.5..5253.5..5535.50.27.0L26",
274,",623.7.08077.0.6.4.6.22.4.43.4.......5.3.L21",
281,",.3611.4.7.6.6..3...054.3..333..205.L2",
282,",55656061.6.3.56.53.5.4104.05.03.4...L3",
283,",45.....5.1..01.26..7..66.560.60.242..7.5.L25",
284,",5062.2....64....5.5.66....5.....4.334....4.330.L15",
291,",562.641.....752.32175.6.86.5.71.1.....0...0L30",
292,",066.52.56.774.63.6.75.65.63.66.55...L37",
293,",6646601645726266066034.7444.65.72.5..5..L43",
294,",36418.23.6.434826626536.47.4..4..1.0.L24",
301,",..46.1.2.4.2.4.1.3.51..0.1.11.32.0.03.2.3...L4",
302,",7...5.4...3.4.5.3.5..054335.3..0.43.1023.0.L16",
303,",5.2.1...03020102.404.24.4.23.3.24.2.L17",
304,",53.41.4.202.31....350364.16..0.3....L2",
311,",951.053237.31.763.54.6..7.53.5.75.84.5.61..L73",
312,",05678.57058.53..7.657.7.55.8.31.4.6.0.L53",
313,",075.5726.57.4.6.6.61.01.6.85...454...L72",
314,",375667252..6.1.6...50....4.82.3523.6...L39",
321,",65626.9.8.8.6937949.78.5..6.5.04.3.L86",
322,",2736.56.7.9.7.7.457.32.66.6.66.7..1..L41",
323,",547.47.8.86.9.47.86.8173.96..450.50..L72",
324,",6174423687.8.6155.96.8..8.25.74.72.4.62.L59",
331,",6586727.7.73..6.7.75.6.76.63.7536.766.2.L100",
332,",56075281662.587557.5607.6616..6..1.L75",
333,",66486248666672.735723645..8.68.711.L92",
334,",06356.60.67..6.6.4.26.....7.7..7.0...L75",
341,",55.41.66.5553170.155.5.7.0..6....5..1..2.L7",
342,",430535.63....65.463.7.3.0..0...33....5..L9",
343,",.000033.2.3.6.3.....60.5.....05........L5",
344,",0....073...5..46.24.....444......3..0...L12",
351,",35.6.6.47.8.6....5.5.56.7..3.05.2.5.7.6...L18",
352,",64707.7.2..7.4..5.61.5.77.53.55.7..5.3..4L23",
353,",13.5..156..65.65.4.57.2258.3..5....5.3.2.L33",
354,",160366.745577..72.6..7..3.4.3..5.50L29",
361,",258758..4..6.7..7.7..6..6.76.4.64.5.3..L66",
362,",55776...8464.7.71.70.6.6.66543.5....4L71",
363,",5568.6.0.55.626.46.57.6702997679707.5.L74",
