bin,count
0,1232
1,729
2,808
3,958
4,1183
5,1091
6,737
7,266
8,82
9,4
.,2391
total_canes,319
number_of_shoots,5858
cane_id,total,2,3,4,5,6,7,8,#shoots
811,108,38,55,72,83,91,96,100,15
812,119,46,66,83,92,99,104,109,18
813,125,47,67,87,101,109,113,117,22
814,182,55,82,105,126,140,152,162,18
821,157,49,71,92,110,124,133,141,17
822,142,46,69,88,101,110,118,126,15
823,114,34,50,65,77,86,93,100,11
824,158,56,78,99,112,122,131,140,20
831,131,43,63,82,98,108,115,121,17
832,127,42,62,80,92,101,108,115,16
833,113,42,60,74,82,89,95,101,18
834,118,40,59,77,93,102,106,110,16
841,107,39,56,72,84,91,95,99,16
842,103,36,52,68,80,89,94,97,16
843,101,36,52,66,75,81,86,91,14
844,87,32,45,54,61,67,72,77,13
851,137,52,72,88,99,109,116,123,21
852,187,57,83,106,127,145,157,167,19
853,132,45,62,79,92,103,111,118,16
854,82,31,43,54,64,70,73,76,14
861,113,44,61,73,83,89,95,101,17
862,142,51,73,92,105,114,121,128,19
863,106,39,55,69,78,85,91,96,17
864,94,34,47,57,66,73,79,84,13
871,152,46,66,85,102,116,127,136,15
872,115,44,63,77,87,95,100,105,17
873,144,51,72,87,99,108,117,126,17
874,102,38,53,66,77,84,90,94,16
881,117,43,57,68,77,85,93,101,15
882,137,41,60,77,90,101,110,119,13
883,115,43,59,70,78,86,94,101,15
884,134,53,77,94,105,112,118,124,22
891,156,53,76,93,107,120,129,138,19
892,184,53,77,100,122,139,151,162,16
893,162,53,78,100,118,131,141,148,21
894,118,43,61,78,88,96,103,108,17
901,173,52,76,98,117,133,146,155,17
902,118,41,57,70,81,91,99,106,15
903,103,42,59,71,78,83,88,93,17
904,103,35,49,61,70,78,85,91,13
911,114,37,53,66,78,88,96,102,14
912,107,37,52,63,73,81,89,95,13
913,131,43,63,82,95,104,112,119,16
914,163,53,76,98,116,127,136,145,18
921,144,53,75,93,107,116,123,130,20
922,136,44,64,82,97,108,116,123,17
923,100,39,56,68,74,80,85,90,16
924,72,31,44,54,61,64,66,68,14
931,122,42,62,79,92,100,106,112,16
932,113,44,63,77,86,93,98,103,18
933,114,44,62,77,87,93,99,104,19
934,100,38,52,63,70,76,82,88,15
941,147,51,73,91,102,111,120,129,18
942,146,50,72,91,106,116,124,132,20
943,134,51,70,87,99,108,116,122,21
944,139,50,67,84,99,111,118,125,20
951,108,38,56,71,84,91,96,100,16
952,145,49,70,87,100,109,118,127,16
953,99,38,53,65,73,79,84,89,16
954,112,43,61,74,84,92,97,102,17
961,95,39,57,68,75,81,85,89,17
962,107,41,58,72,81,87,92,97,16
963,121,43,61,78,89,99,105,111,18
964,101,47,60,70,76,81,86,91,20
971,118,49,65,79,87,94,100,106,20
972,100,40,56,70,79,84,88,92,18
973,157,48,71,92,111,126,135,143,17
974,100,41,58,69,75,80,85,90,17
981,137,48,68,85,100,109,116,123,18
982,125,49,69,87,99,105,110,115,21
983,131,44,62,77,89,99,108,117,15
984,135,47,66,81,94,105,114,121,18
991,197,64,91,116,138,157,170,179,25
992,125,39,56,72,85,93,101,109,13
993,90,36,50,62,70,74,78,82,16
994,152,54,77,95,107,118,129,137,21
