Coy,May
Cane,coy
811,",6065044.7246044.5245..L9"
812,",23443.5646.4254.4244.3.L0"
813,",5421045441.6155.56.6145.614L9"
814,",3.5.3.0.5155.5.77.6345.4036.5.L3"
821,",032.5421.6..605.4.46.6657.5L7"
822,",3...43.405.3445.046.5435.L14"
823,",54.1.03.51.44.5.6006.L9"
824,",5.122.5412.445.43.4404.24.6..2L6"
831,",552140.54508706.54.5036.600.L21"
832,",444.4..4508154.6136.35.L14"
833,",30301141.44.413451.3.4106..L1"
834,",5505405064.562356.66.5.L7"
841,",4500.15505.052364426.6.04L7"
842,",5564.4145046.7207016.6L23"
843,",4440.5304..14135.52.6L6"
844,",33000123.10034115.4..6.L1"
851,",.3141103.4244.22.5.24.6136.63L27"
852,",62...503.61.4.5326.34.5066.6077.L45"
853,",424.42.4026.21.5.52.7006.6L28"
854,",21000.5.510312566.60450L14"
861,",421.5.3304.230552.3102.5.3L2"
862,",44540213206.40.6.52.4053.50.4.3L4"
863,",41.0105444.62.3113.5107.40L9"
864,",220016.05.325.3107.34.L14"
871,",350.0.054.7.45.8206.6207.62.L19"
872,",333.4042.2306052.6044.6035.L6"
873,",443200.523030243.0305..5.23.1..00.L2"
874,",443.2602125017.5507.35.L10"
881,",.4133.0.14.2205.22.3.21.2L0"
882,",.5003.01.4..6.44.4.13.5016L7"
883,",72..20301424.30.430.3003.20.2L0"
884,",34135553053.6304.43.84.443.220L2"
891,",431261..64...32433.35.3060.61.L11"
892,",0567.32.1.2...4.6.55.6056.605.L45"
893,",34.34.551605416047.75.7.16.53.L12"
894,",4442004425.47.4023.6017.5.L14"
901,",76435.37.5204.02.40.7.50.6.06.7L37"
902,",43.0022.3.43.6.12720560.8L11"
903,",001000313223042.4045.3034.00.4.5L2"
904,",04.6034.71.5023.21.4.01L2"
911,",751..31.2013.7306.64.50L27"
912,",75033301.2..5003.40.7.220L14"
913,",.5405404417.53.8.64.4.25L24"
914,",514.06..5.3205.24.5.24.6054.55L15"
921,",3.534024300350.40.5.62.6014.22.5005L8"
922,",9145.4206.43.7105.55.636.L29"
923,",214430.30001.4003.43.4104.63L2"
924,",5.41000.5034402323065005L3"
931,",25345.35.8036.4405.64.5L15"
932,",23335.44.4305.4126.6104.30L3"
933,",4430.4320104.5503.7112.5104.5L0"
934,",51404..0301.030204201003.0.21.4L5"
941,",3345133044401.20...2..5.04.4001.4L1"
942,",.5505.5.31318.6316.44.5214040.L17"
943,",054214214.7.3027.521623.5.44.L5"
944,",1622014.5.616106.42.5.25.6022.L6"
951,",505535.5146.4303.6105.7L13"
952,",550.0.00225.5.4303.13.34.2.0.4004L2"
953,",23..01134135024.5104.40.6L0"
954,",324.2033044.536.53.6106.02L2"
961,",346533304034.0012.3308.6004L13"
962,",3.6235154.4..5243.20044L7"
963,",...213106146.440644.54862L7"
964,",312021204223.4124.200502.4.32.L0"
971,",2202150042.4.14.4.2213.6203.44L0"
972,",44115034.54.4125.6213.5L0"
973,",56363.55.6007.42.8.606005604..L16"
974,",4344305034.3113.21.4.3.2L0"
981,",53..563534.51.5.1002.2406.25L8"
982,",43100544.5125.5025.42.3044.5016L9"
983,",2023205.38.4346.4028.0..5.L11"
984,",03.1.4.313524.12.6327.5706.L10"
991,",6516.5424.3.26.73.7015.7427.6016.6.1L15"
992,",1.03005.1204.45.5..5.15.4L2"
993,",31234502515..5.4414.01L0"
994,",433.1424412003.2.49.5.34.7037.70L8"
1001,",5422003135.7136.711608406.6L25"
1002,",4041310412.310.4.01162666125.70L10"
1003,",340.1.34..02.6022.600.6102.6.L3"
1004,",010032030.5.5..5.03.L0"
1011,",3604032.3112.35.60116L8"
1012,",220305204306055.40.6...50L18"
1013,",54430451806.7014.6.6L29"
1014,",630.156.416.501.4004.2115.61.L8"
1021,",0304336.5.5234.5515.641614L20"
1022,",0442.3241.4.23..5305.3..5L2"
