bin,count
0,581
1,520
2,573
3,813
4,1056
5,1427
6,1604
7,981
8,343
9,70
.,4739
total_canes,320
number_of_shoots,7387
cane_id,total,2,3,4,5,6,7,8,#shoots
11,352,96,141,184,221,253,283,309,28
12,257,94,131,164,192,214,230,239,42
13,279,80,117,152,183,210,231,249,26
14,211,60,86,110,134,154,169,183,17
21,280,99,139,175,208,231,248,259,41
22,310,98,141,182,215,242,259,276,35
23,298,80,119,155,188,216,242,262,22
24,327,84,125,166,202,231,255,279,18
31,141,43,63,82,97,111,121,129,16
32,305,88,131,169,201,226,248,267,26
33,249,77,113,147,175,194,211,225,28
34,240,74,110,142,168,187,201,214,25
41,329,90,132,169,205,237,267,290,27
42,361,95,142,188,230,268,296,318,27
43,282,76,112,146,176,201,222,242,18
44,285,83,124,162,192,217,236,253,26
51,344,97,143,183,221,253,278,300,27
52,329,93,136,175,211,244,266,287,26
53,309,80,118,153,186,216,242,265,18
54,262,68,102,133,161,185,207,226,16
61,382,104,154,200,245,284,318,343,35
62,293,87,126,161,192,220,241,259,27
63,345,98,146,189,229,261,284,305,29
64,265,78,113,144,173,197,217,233,23
71,301,91,135,175,213,245,264,277,34
72,336,105,153,195,231,260,284,302,36
73,251,72,107,138,164,187,206,221,21
74,255,79,115,149,180,204,221,233,29
81,370,97,145,191,234,273,305,332,32
82,363,104,153,198,240,280,306,327,34
83,264,73,109,142,172,198,219,236,23
84,253,74,108,142,172,198,215,228,25
91,291,86,128,165,200,228,248,263,29
92,324,87,129,170,210,243,269,288,26
93,319,81,120,159,195,229,262,285,26
94,227,70,104,136,165,188,202,211,27
101,280,76,112,147,182,212,235,252,25
102,289,83,122,161,194,223,245,261,28
103,238,65,96,124,151,176,195,210,19
104,245,68,100,132,162,186,204,219,21
111,311,90,133,172,208,239,260,278,29
112,231,67,100,131,160,181,195,207,22
113,305,87,124,159,192,220,244,265,26
114,263,76,108,138,167,194,216,233,23
121,264,78,114,147,178,201,219,234,24
122,299,92,133,170,202,228,250,267,30
123,265,77,113,145,171,191,211,229,21
124,248,78,116,147,174,195,209,222,27
131,257,77,112,144,173,198,217,231,26
132,252,78,115,148,177,201,216,228,28
133,240,73,105,135,161,186,201,214,24
134,275,81,118,153,185,214,233,247,27
141,305,93,136,177,210,235,256,274,32
142,287,80,118,153,186,217,239,257,26
143,258,71,104,135,165,192,212,228,22
144,255,68,102,135,167,194,214,230,22
151,298,79,118,154,188,218,241,262,22
152,355,93,139,185,227,261,290,313,26
153,278,74,109,142,174,204,228,246,21
154,274,72,107,140,172,201,221,240,19
161,278,85,123,155,185,211,234,251,31
162,265,76,111,142,172,200,221,236,24
163,290,84,125,163,198,223,242,258,26
164,258,76,113,149,182,211,228,240,30
171,330,88,131,172,210,241,269,290,24
172,263,84,123,157,184,207,223,237,32
173,253,77,113,148,179,203,223,235,32
174,285,87,128,164,195,218,236,253,28
181,196,67,99,126,148,163,175,182,27
182,152,51,71,90,105,117,127,136,20
183,202,72,103,129,145,157,169,180,26
184,137,54,77,94,102,109,116,123,21
191,181,60,87,113,132,145,154,163,23
192,224,75,106,135,159,175,188,201,30
193,215,70,102,129,150,167,179,191,25
194,244,69,102,135,165,185,201,216,21
201,239,77,108,136,161,180,196,211,28
202,248,69,102,135,168,195,214,228,25
203,208,67,98,127,150,167,178,188,25
204,261,80,117,152,184,207,223,236,28
211,240,72,104,136,161,182,200,214,24
212,252,74,108,141,170,195,214,229,27
213,220,60,89,113,136,156,174,190,16
214,237,66,97,127,157,184,203,215,22
221,257,71,106,139,170,197,219,233,24
222,239,70,103,135,164,186,203,215,23
223,276,75,112,147,177,203,223,242,21
224,215,66,95,122,147,167,182,195,24
231,304,80,119,158,195,228,256,276,27
232,278,80,120,158,191,219,240,256,30
233,226,71,104,133,159,180,195,207,27
234,273,74,110,143,172,200,223,241,21
241,214,71,102,130,149,165,178,190,25
242,249,77,111,141,170,191,207,223,27
243,266,70,104,137,166,192,214,233,19
244,228,66,98,128,154,177,192,204,22
251,290,76,112,147,180,205,229,250,19
252,258,79,118,153,183,208,224,236,29
253,295,82,117,146,174,199,223,247,18
254,320,87,130,169,204,232,256,278,23
261,247,77,112,144,175,200,218,231,32
262,323,84,125,165,202,234,262,287,25
263,284,84,122,157,191,219,238,254,28
264,214,66,94,120,141,160,176,190,23
271,293,85,126,163,196,221,241,259,26
272,231,69,101,129,152,172,190,205,22
273,254,69,101,131,161,181,200,218,17
274,273,74,108,139,166,192,215,235,18
281,225,64,94,118,140,160,177,193,17
282,208,62,92,119,143,160,172,184,20
283,280,74,107,140,171,198,220,240,18
284,346,90,133,172,207,238,265,292,18
291,290,78,112,145,177,205,229,250,21
292,247,70,104,136,167,192,208,221,22
293,221,73,106,138,164,186,197,205,29
294,218,70,101,128,149,169,183,196,25
301,269,76,107,134,158,181,203,225,19
302,272,77,114,144,170,191,212,232,19
303,180,60,82,101,115,128,141,154,18
304,216,63,91,114,134,152,168,184,17
311,276,81,119,152,183,207,228,245,27
312,253,69,103,135,166,190,211,227,22
313,250,68,100,132,161,185,204,220,20
314,264,75,108,138,167,192,212,230,21
321,255,68,101,132,161,187,208,227,22
322,268,73,107,139,170,199,221,237,22
323,261,69,103,136,165,191,214,233,22
324,263,78,112,145,174,200,221,238,28
331,283,80,118,153,188,220,243,257,27
332,209,63,91,119,147,169,183,193,25
333,210,68,98,126,151,174,188,198,29
334,274,68,101,133,164,194,217,236,15
341,270,74,108,141,173,196,216,234,21
342,274,74,111,141,169,193,214,234,17
343,276,66,98,126,154,180,204,228,9
344,306,74,110,144,173,201,228,254,11
351,321,82,122,160,197,228,254,277,19
352,292,79,117,153,186,213,238,256,22
353,284,80,116,149,181,205,226,246,22
354,229,65,96,124,150,172,190,203,20
361,303,78,116,153,187,218,244,265,20
362,259,71,106,140,170,196,216,231,22
363,247,70,103,136,168,194,213,226,26
364,222,66,95,123,151,175,188,200,23
371,302,87,127,163,195,223,248,266,27
372,272,73,109,143,172,198,219,238,20
373,281,74,111,147,179,207,228,247,20
374,273,74,110,143,173,201,222,241,21
381,204,69,99,128,149,164,176,186,29
382,200,64,94,122,145,161,173,182,24
383,250,67,98,128,156,178,196,214,16
384,276,77,111,142,171,197,219,238,21
391,242,65,94,122,148,169,188,206,15
392,237,66,97,125,150,171,189,205,19
393,208,67,95,122,141,156,169,182,22
394,269,68,100,132,160,184,206,227,13
401,229,69,101,129,155,176,190,203,22
402,180,58,81,101,118,133,147,158,19
403,287,74,111,146,179,208,229,249,18
404,284,84,123,159,192,223,244,258,29
411,268,71,105,137,166,192,215,234,20
412,264,76,112,141,170,194,213,230,23
413,266,82,119,152,179,198,215,232,26
414,231,73,106,134,161,180,195,207,25
421,296,82,122,161,197,228,251,266,27
422,286,78,116,153,186,215,239,256,25
423,248,71,106,141,170,190,206,220,22
424,285,77,114,150,181,206,228,247,20
431,306,83,123,161,196,227,254,272,25
432,338,87,130,171,210,247,278,302,26
433,285,81,121,159,193,222,245,259,28
434,301,83,123,163,200,228,248,267,26
441,264,80,117,152,184,209,225,238,28
442,255,72,105,137,165,190,210,225,22
443,215,63,92,121,148,167,183,195,22
444,231,62,92,120,146,169,188,203,18
451,337,85,127,166,202,236,265,289,19
452,217,65,94,120,143,161,177,191,20
453,282,79,117,154,187,216,237,252,25
454,300,67,100,132,164,195,224,251,10
461,286,75,110,143,173,199,223,245,18
462,328,78,114,150,185,218,249,277,16
463,230,67,97,123,146,167,185,202,21
464,339,89,131,169,206,239,267,291,21
471,274,79,115,149,183,209,227,244,25
472,253,75,110,144,174,201,219,232,28
473,251,71,103,132,160,184,204,221,21
474,270,87,124,157,188,210,226,241,30
481,282,76,112,146,179,208,232,250,22
482,294,84,124,161,193,220,243,262,26
483,256,70,101,130,157,181,202,220,19
484,258,72,105,136,163,187,207,224,20
491,268,73,108,140,168,192,214,233,20
492,242,71,101,129,155,177,197,212,22
493,286,79,118,152,181,210,235,254,24
494,250,76,106,136,164,190,207,222,26
501,249,75,109,139,165,189,208,223,26
502,236,72,103,132,160,186,205,218,27
503,251,69,102,134,163,186,203,219,19
504,279,81,120,159,190,215,236,251,27
511,232,66,98,128,156,179,193,206,20
512,239,69,99,127,152,173,191,207,19
513,213,62,90,116,138,156,171,185,19
514,245,74,106,136,164,187,203,217,26
521,259,76,110,143,173,197,216,231,24
522,293,81,121,156,187,215,238,257,23
523,272,77,113,145,174,199,218,236,22
524,239,68,101,132,160,185,206,219,24
531,295,79,117,155,190,220,241,261,23
532,228,66,98,127,153,175,191,204,22
533,253,78,115,148,178,201,219,231,28
534,215,60,90,119,143,165,181,193,19
541,233,61,88,115,142,167,188,205,18
542,274,72,107,140,169,197,222,242,21
543,281,78,115,147,178,206,227,246,22
544,246,76,113,145,174,199,219,230,31
551,217,57,85,111,135,156,176,194,18
552,188,60,87,113,135,151,161,170,22
553,164,53,75,97,113,126,136,146,19
554,270,76,112,146,174,197,219,238,23
561,265,71,105,136,164,189,210,229,18
562,253,68,100,130,158,182,203,220,20
563,220,62,92,121,147,168,181,194,19
564,229,66,95,121,143,164,181,197,18
571,233,60,90,118,145,169,190,205,16
572,254,76,110,142,168,189,208,225,26
573,186,61,90,116,136,153,162,170,23
574,281,72,105,136,165,191,216,238,16
581,240,60,90,120,149,173,195,210,15
582,236,58,87,115,141,167,187,204,13
583,213,59,87,112,137,159,176,189,19
584,300,84,123,158,192,223,248,267,27
591,243,68,100,128,155,177,195,211,19
592,222,73,106,132,151,168,183,196,24
593,281,80,116,149,178,205,224,243,22
594,260,69,101,130,156,179,201,222,16
601,163,48,67,83,97,111,124,137,12
602,257,74,105,135,164,190,209,225,23
603,177,61,88,110,127,142,153,161,24
604,264,79,116,147,174,197,215,232,24
611,178,62,91,115,136,152,160,166,25
612,206,66,96,124,147,164,176,186,24
613,260,90,131,167,196,216,227,238,35
614,233,70,100,128,150,169,185,201,21
621,199,65,97,121,143,160,172,181,24
622,288,74,110,145,177,205,231,253,21
623,272,86,124,158,188,212,231,246,31
624,239,80,113,139,163,182,197,211,27
631,236,70,104,135,164,189,208,220,27
632,244,70,105,139,168,192,209,223,25
633,244,74,109,143,170,194,211,223,28
634,246,71,104,136,164,189,204,218,22
641,174,61,87,111,130,143,153,161,27
642,246,76,112,145,171,193,212,224,28
